nome,estaca,xgeo,ygeo,coordenadax,coordenaday,Prof Max 2m p Cravacao,SPT Max ate 2m, Prof do SPT Max ate 2m,Rocha dura ate 5m,Formacao Carstica
Alex01,4411,-37.9683968430882,-5.26883100457717,614315.9255,9417524.8986,Rocha Presente,45,1.33,1.33(45NSPT),Zona friavel/ou caverna(-0.0m)
Alex01,4412,-37.9683969520052,-5.26876497555439,614315.9255,9417532.1986,-,37,1.36,2.19(45NSPT),Zona friavel/ou caverna(-0.0m)
Alex01,4413,-37.9683970609208,-5.26869894653145,614315.9255,9417539.4986,-,24,1.34,2.22(45NSPT),Zona friavel/ou caverna(-0.0m)
Alex01,4414,-37.968397168343,-5.26863382201555,614315.9255,9417546.6986,-,24,1.33,3.2(42NSPT),Zona friavel/ou caverna(-0.0m)
Alex01,4415,-37.9683972876995,-5.26856146144215,614315.9255,9417554.6986,-,24,1.33,3.2(42NSPT),Zona friavel/ou caverna(-0.0m)
Alex01,4416,-37.9683973995947,-5.26849362340444,614315.9255,9417562.1986,-,25,1.39,2.19(45NSPT),Zona friavel/ou caverna(-0.0m)
Alex01,4417,-37.9683975114885,-5.26842578536658,614315.9255,9417569.6986,Rocha Presente,40,1.35,1.35(40NSPT),Zona friavel/ou caverna(-0.0m)
Alex01,4418,-37.9683975765055,-5.26838636694397,614315.9255,9417574.0566,-,9,1.38,-(-NSPT),Zona friavel/ou caverna(-0.0m)
Alex01,4419,-37.9683976854132,-5.26832033792024,614315.9255,9417581.3566,Rocha Presente,45,1.32,1.32(45NSPT),Zona friavel/ou caverna(-0.0m)
Alex01,4420,-37.9683977943195,-5.26825430889634,614315.9255,9417588.6566,Rocha Presente,45,1.33,1.33(45NSPT),Zona friavel/ou caverna(-0.0m)
Alex01,4421,-37.9683979017326,-5.2681891843795,614315.9255,9417595.8566,-,27,1.57,2.24(45NSPT),Zona friavel/ou caverna(-0.0m)
Alex01,4422,-37.9683980210788,-5.26811682380506,614315.9255,9417603.8566,Rocha Presente,45,1.36,1.36(45NSPT),Zona friavel/ou caverna(-0.0m)
Alex01,4423,-37.9683981329645,-5.26804898576637,614315.9255,9417611.3566,Rocha Presente,45,1.32,1.32(45NSPT),Zona friavel/ou caverna(-0.0m)
Alex01,4424,-37.9683982448486,-5.26798114772752,614315.9255,9417618.8566,Rocha Presente,45,1.31,1.31(45NSPT),Zona friavel/ou caverna(-0.0m)
